name,calories,cholesterol,folic_acid,vitamin_c,vitamin_d,calcium,iron,protein,carbohydrate,fiber,sugars,fat
"Parsley, freeze-dried",271,0.0,0.0,149.0,0.0,176.0,53.9,31.3,42.38,32.7,0.0,5.2
"Spices, black, pepper",251,0.0,0.0,0.0,0.0,443.0,9.71,10.39,63.95,25.3,0.64,3.26
"Spices, white, pepper",296,0.0,0.0,21.0,0.0,265.0,14.31,10.4,68.61,26.2,0.0,2.12
"Yambean (jicama), raw",38,0.0,0.0,20.2,0.0,12.0,0.6,0.72,8.82,4.9,1.8,0.09
"Nuts, dried, pilinuts",719,0.0,0.0,0.6,0.0,145.0,3.53,10.8,3.98,0.0,0.0,79.55
"Kiwifruit, raw, reen",61,0.0,0.0,92.7,0.0,34.0,0.31,1.14,14.66,3.0,8.99,0.52
"Drumstick leaves, raw",64,0.0,0.0,51.7,0.0,185.0,4.0,9.4,8.28,2.0,0.0,1.4
"Yautia (tannier), raw",98,0.0,0.0,5.2,0.0,9.0,0.98,1.46,23.63,1.5,0.0,0.4
"Candies, butterscotch",391,9.0,0.0,0.0,0.0,4.0,0.01,0.03,90.4,0.0,80.46,3.3
"Cucumber, raw, peeled",12,0.0,0.0,3.2,0.0,14.0,0.22,0.59,2.16,0.7,1.38,0.16
"Dandelion reens, raw",45,0.0,0.0,35.0,0.0,187.0,3.1,2.7,9.2,3.5,0.71,0.7
"Melons, raw, honeydew",36,0.0,0.0,18.0,0.0,6.0,0.17,0.54,9.09,0.8,8.12,0.14
Potato salad with e,157,17.0,0.0,0.8,4.0,15.0,0.5,1.96,16.18,1.3,4.95,9.4
"Mushrooms, raw, white",22,0.0,0.0,2.1,7.0,3.0,0.5,3.09,3.26,1.0,1.98,0.34
"Mushrooms, raw, morel",31,0.0,0.0,0.0,206.0,43.0,12.18,3.12,5.1,2.8,0.6,0.57
"Cheese, Mexican blend",358,95.0,0.0,0.0,21.0,659.0,0.59,23.54,1.75,0.0,1.23,28.51
"Oranes, Florida, raw",46,0.0,0.0,45.0,0.0,43.0,0.09,0.7,11.54,2.4,9.14,0.21
"SILK Vanilla, soymilk",41,0.0,0.0,0.0,49.0,123.0,0.44,2.47,4.12,0.4,2.88,1.44
"Papaya nectar, canned",57,0.0,0.0,3.0,0.0,10.0,0.34,0.17,14.51,0.6,13.91,0.15
"Fiddlehead ferns, raw",34,0.0,0.0,26.6,0.0,32.0,1.31,4.55,5.54,0.0,0.0,0.4
SILK Peach soy yourt,94,0.0,0.0,17.6,0.0,176.0,0.64,2.35,18.82,0.6,14.71,1.18
SILK Plain soy yourt,66,0.0,0.0,13.2,53.0,132.0,0.0,2.64,9.69,0.4,5.29,1.76
"PACE, Enchilada Sauce",40,0.0,0.0,2.0,0.0,0.0,0.6,1.67,8.33,1.7,6.67,0.0
Yeast extract spread,185,0.0,2993.0,0.0,0.0,67.0,4.04,23.88,20.42,6.5,1.6,0.9
"Tomatoes, raw, reen",23,0.0,0.0,23.4,0.0,13.0,0.51,1.2,5.1,1.1,4.0,0.2
"Mollusks, raw, snail",90,50.0,0.0,0.0,0.0,10.0,3.5,16.1,2.0,0.0,0.0,1.4
"Emu, raw, fan fillet",103,71.0,0.0,0.0,0.0,3.0,4.5,22.5,0.0,0.0,0.0,0.8
